Timezone,State,city
 Hawaii-Aleutian Daylight Time ,Alaska,Adak  
 Alaska Daylight Time ,Alaska,Akiachak  
 Alaska Daylight Time ,Alaska,Akiak  
 Alaska Daylight Time ,Alaska,Akutan  
 Alaska Daylight Time ,Alaska,Alakanuk  
 Alaska Daylight Time ,Alaska,Aleknagik  
 Alaska Daylight Time ,Alaska,Allakaket  
 Alaska Daylight Time ,Alaska,Ambler  
 Alaska Daylight Time ,Alaska,Anaktuvuk Pass 
 Alaska Daylight Time ,Alaska,Anchor Point 
 Alaska Daylight Time ,Alaska,Anchorage  
 Alaska Daylight Time ,Alaska,Anderson  
 Alaska Daylight Time ,Alaska,Angoon  
 Alaska Daylight Time ,Alaska,Aniak  
 Alaska Daylight Time ,Alaska,Anvik  
 Alaska Daylight Time ,Alaska,Arctic Village 
 Hawaii-Aleutian Daylight Time ,Alaska,Atka  
 Alaska Daylight Time ,Alaska,Atqasuk   
 Alaska Daylight Time ,Alaska,Auke Bay  
 Alaska Daylight Time ,Alaska,Barrow  
 Alaska Daylight Time ,Alaska,Beaver  
 Alaska Daylight Time ,Alaska,Bethel  
 Alaska Daylight Time ,Alaska,Bettles Field 
 Alaska Daylight Time ,Alaska,Big Lake 
 Alaska Daylight Time ,Alaska,Brevig Mission 
 Alaska Daylight Time ,Alaska,Buckland  
 Alaska Daylight Time ,Alaska,Cantwell  
 Alaska Daylight Time ,Alaska,Central  
 Alaska Daylight Time ,Alaska,Chalkyitsik  
 Alaska Daylight Time ,Alaska,Chefornak  
 Alaska Daylight Time ,Alaska,Chevak  
 Alaska Daylight Time ,Alaska,Chicken  
 Alaska Daylight Time ,Alaska,Chignik  
 Alaska Daylight Time ,Alaska,Chignik Lagoon 
 Alaska Daylight Time ,Alaska,Chignik Lake 
 Alaska Daylight Time ,Alaska,Chitina  
 Hawaii-Aleutian Daylight Time ,Alaska,Adak  
 Alaska Daylight Time ,Alaska,Akiachak  
 Alaska Daylight Time ,Alaska,Akiak  
 Alaska Daylight Time ,Alaska,Akutan  
 Alaska Daylight Time ,Alaska,Alakanuk  
 Alaska Daylight Time ,Alaska,Aleknagik  
 Alaska Daylight Time ,Alaska,Allakaket  
 Alaska Daylight Time ,Alaska,Ambler  
 Alaska Daylight Time ,Alaska,Anaktuvuk Pass 
 Alaska Daylight Time ,Alaska,Anchor Point 
 Alaska Daylight Time ,Alaska,Anchorage  
 Alaska Daylight Time ,Alaska,Anderson  
 Alaska Daylight Time ,Alaska,Angoon  
 Alaska Daylight Time ,Alaska,Aniak  
 Alaska Daylight Time ,Alaska,Anvik  
 Alaska Daylight Time ,Alaska,Arctic Village 
 Hawaii-Aleutian Daylight Time ,Alaska,Atka  
 Alaska Daylight Time ,Alaska,Atqasuk  
 Alaska Daylight Time ,Alaska,Auke Bay 
 Alaska Daylight Time ,Alaska,Barrow  
 Alaska Daylight Time ,Alaska,Beaver  
 Alaska Daylight Time ,Alaska,Bethel  
 Alaska Daylight Time ,Alaska,Bettles Field 
 Alaska Daylight Time ,Alaska,Big Lake 
 Alaska Daylight Time ,Alaska,Brevig Mission 
 Alaska Daylight Time ,Alaska,Buckland  
 Alaska Daylight Time ,Alaska,Cantwell  
 Alaska Daylight Time ,Alaska,Central  
 Alaska Daylight Time ,Alaska,Chalkyitsik  
 Alaska Daylight Time ,Alaska,Chefornak  
 Alaska Daylight Time ,Alaska,Chevak  
 Alaska Daylight Time ,Alaska,Chicken  
 Alaska Daylight Time ,Alaska,Chignik  
 Alaska Daylight Time ,Alaska,Chignik Lagoon 
 Alaska Daylight Time ,Alaska,Chignik Lake 
 Alaska Daylight Time ,Alaska,Chitina  
 Alaska Daylight Time ,Alaska,Chugiak  
 Alaska Daylight Time ,Alaska,Circle  
 Alaska Daylight Time ,Alaska,Clam Gulch 
 Alaska Daylight Time ,Alaska,Clarks Point 
 Alaska Daylight Time ,Alaska,Clear  
 Alaska Daylight Time ,Alaska,Coffman Cove 
 Alaska Daylight Time ,Alaska,Cold Bay 
 Alaska Daylight Time ,Alaska,Cooper Landing 
 Alaska Daylight Time ,Alaska,Copper Center 
 Alaska Daylight Time ,Alaska,Cordova  
 Alaska Daylight Time ,Alaska,Craig  
 Alaska Daylight Time ,Alaska,Crooked Creek 
 Alaska Daylight Time ,Alaska,Deering  
 Alaska Daylight Time ,Alaska,Delta Junction 
 Alaska Daylight Time ,Alaska,Dillingham  
 Alaska Daylight Time ,Alaska,Douglas  
 Hawaii-Aleutian Daylight Time ,Alaska,Dutch Harbor 
 Alaska Daylight Time ,Alaska,Eagle  
 Alaska Daylight Time ,Alaska,Eagle River 
 Alaska Daylight Time ,Alaska,Eek  
 Alaska Daylight Time ,Alaska,Egegik  
 Alaska Daylight Time ,Alaska,Eielson Afb 
 Alaska Daylight Time ,Alaska,Ekwok  
 Alaska Daylight Time ,Alaska,Elfin Cove 
 Alaska Daylight Time ,Alaska,Elim  
 Alaska Daylight Time ,Alaska,Emmonak  
 Alaska Daylight Time ,Alaska,Ester  
 Alaska Daylight Time ,Alaska,Fairbanks  
 Alaska Daylight Time ,Alaska,FALSE Pass 
 Alaska Daylight Time ,Alaska,Fort Greely 
 Alaska Daylight Time ,Alaska,Fort Yukon 
 Alaska Daylight Time ,Alaska,Gakona  
 Alaska Daylight Time ,Alaska,Galena  
 Alaska Daylight Time ,Alaska,Gambell  
 Alaska Daylight Time ,Alaska,Girdwood  
 Alaska Daylight Time ,Alaska,Glennallen  
 Alaska Daylight Time ,Alaska,Goodnews Bay 
 Alaska Daylight Time ,Alaska,Grayling  
 Alaska Daylight Time ,Alaska,Gustavus  
 Alaska Daylight Time ,Alaska,Haines  
 Alaska Daylight Time ,Alaska,Healy  
 Alaska Daylight Time ,Alaska,Holy Cross 
 Alaska Daylight Time ,Alaska,Homer  
 Alaska Daylight Time ,Alaska,Hoonah  
 Alaska Daylight Time ,Alaska,Hooper Bay 
 Alaska Daylight Time ,Alaska,Hope  
 Alaska Daylight Time ,Alaska,Houston  
 Alaska Daylight Time ,Alaska,Hughes  
 Alaska Daylight Time ,Alaska,Huslia  
 Alaska Daylight Time ,Alaska,Hydaburg  
 Alaska Daylight Time ,Alaska,Hyder  
 Alaska Daylight Time ,Alaska,Iliamna  
 Alaska Daylight Time ,Alaska,Juneau  
 Alaska Daylight Time ,Alaska,Kake  
 Alaska Daylight Time ,Alaska,Kaktovik  
 Alaska Daylight Time ,Alaska,Kalskag  
 Alaska Daylight Time ,Alaska,Kaltag  
 Alaska Daylight Time ,Alaska,Karluk  
 Alaska Daylight Time ,Alaska,Kasigluk  
 Alaska Daylight Time ,Alaska,Kenai  
 Alaska Daylight Time ,Alaska,Ketchikan  
 Alaska Daylight Time ,Alaska,Kiana  
 Alaska Daylight Time ,Alaska,King Cove 
 Alaska Daylight Time ,Alaska,King Salmon 
 Alaska Daylight Time ,Alaska,Kipnuk  
 Alaska Daylight Time ,Alaska,Kivalina  
 Alaska Daylight Time ,Alaska,Klawock  
 Alaska Daylight Time ,Alaska,Kobuk  
 Alaska Daylight Time ,Alaska,Kodiak  
 Alaska Daylight Time ,Alaska,Kongiganak  
 Alaska Daylight Time ,Alaska,Kotlik  
 Alaska Daylight Time ,Alaska,Kotzebue  
 Alaska Daylight Time ,Alaska,Koyuk  
 Alaska Daylight Time ,Alaska,Koyukuk  
 Alaska Daylight Time ,Alaska,Kwethluk  
 Alaska Daylight Time ,Alaska,Kwigillingok  
 Alaska Daylight Time ,Alaska,Lake Minchumina 
 Alaska Daylight Time ,Alaska,Larsen Bay 
 Alaska Daylight Time ,Alaska,Levelock  
 Alaska Daylight Time ,Alaska,Lower Kalskag 
 Alaska Daylight Time ,Alaska,Manley Hot Springs
 Alaska Daylight Time ,Alaska,Manokotak  
 Alaska Daylight Time ,Alaska,Marshall  
 Alaska Daylight Time ,Alaska,Mc Grath 
 Alaska Daylight Time ,Alaska,Mekoryuk  
 Alaska Daylight Time ,Alaska,Metlakatla  
 Alaska Daylight Time ,Alaska,Meyers Chuck 
 Alaska Daylight Time ,Alaska,Minto  
 Alaska Daylight Time ,Alaska,Moose Pass 
